ACCOUNTCLIENTCATEGORY,ACCOUNTID,ACCOUNTMARKETINGSEGMENT,ACCOUNTNAME,Amount,CREATEDDATE,Category,Close_Date,DAYSSINCELASTACTIVITY,FORECASTCATEGORY,ID,ISCLOSED,ISWON,LEADSOURCE,LastProcessedDate,OWNERID,Opportunity_Age,Opportunity_GoldenId,Opportunity_Name,Opportunity_Owner,PROBABILITY,STAGESORTORDER,Stage_Name
Preferred,0015f00000FJYKTAA5,Mass Market,Jackie Wolf,175200,2022-02-27 00:00:00,Residential,2022-06-27 00:00:00,698,Commit,0065f0000089iJdAAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,329,006Dm000003RqgcIAC,Jackie Wolf - Mortgage - 175200,Mark Garet,0.76,4,4. Underwriting
Regular,0015f00000FJXpVAAX,High Net Worth Families,Marvin Doyle V,32700,2022-03-21 00:00:00,Home Equity,2022-06-29 00:00:00,283,Best Case,0065f0000089iFwAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxeAAA,283,006Dm000003RqgcIAC,Marvin Doyle V - Loan - 19000,Allen Advisor,0.65,1,1. Doc Prep
Preferred,0015f00000FJXoyAAH,High Net Worth Families,Latoya Adams,281600,2022-04-03 00:00:00,Residential,2022-07-12 00:00:00,850,Best Case,0065f0000089iIoAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxdAAA,272,006Dm000003RqgcIAC,Latoya Adams - Mortgage - 281600,Allen Advisor,0.41,1,1. Doc Prep
Preferred,0015f00000FJXpaAAH,Millennials,Deangelo Nolan,30800,2022-03-29 00:00:00,Home Equity,2022-07-17 00:00:00,231,Best Case,0065f000002PL84AAG,FALSE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxdAAA,306,006Dm000003RqgcIAC,Deangelo Nolan - Loan - 20500,Allen Advisor,0.91,4,3. Credit Review
Preferred,0015f00000FJXogAAH,Affluent Professionals,Omega Windler III,179700,2022-03-31 00:00:00,Residential,2022-07-19 00:00:00,713,Closed,0065f0000089iJpAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,341,006Dm000003RqgcIAC,Omega Windler III - Mortgage - 179700,Brenda Banker,1,5,5. Closed Won
Preferred,0015f00000FJXpaAAH,Mass Market,Kieth Weber,183500,2022-04-17 00:00:00,Residential,2022-07-26 00:00:00,382,Best Case,0065f0000089iHKAAY,FALSE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxdAAA,465,006Dm000003RqgcIAC,Kieth Weber - Mortgage - 183500,Allen Advisor,0.9,4,3. Credit Review
Preferred,0015f00000FJXpWAAX,Retired,Janie Cronin,125700,2022-04-14 00:00:00,Home Equity,2022-08-02 00:00:00,713,Best Case,0065f0000089iEAAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxZAAQ,296,006Dm000003RqgcIAC,Janie Cronin - Loan - 16900,Brenda Banker,0.59,1,1. Doc Prep
Preferred,0015f00000FJXowAAH,High Net Worth Families,Mack Upton Sr.,409000,2022-04-26 00:00:00,Residential,2022-08-04 00:00:00,333,Commit,0065f0000089iNTAAY,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxfAAA,263,006Dm000003RqgcIAC,Mack Upton Sr. - Mortgage - 409000,Allen Advisor,0.86,4,4. Underwriting
Regular,0015f00000FJXpeAAH,Millennials,Kerri King,190200,2022-04-07 00:00:00,Residential,2022-08-05 00:00:00,800,Closed,0065f0000089iJ2AAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxfAAA,288,006Dm000003RqgcIAC,Kerri King - Mortgage - 190200,Chelsea Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXpSAAX,Affluent Professionals,Mr. Cletus Kemmer,78500,2022-04-28 00:00:00,Home Equity,2022-08-06 00:00:00,967,Best Case,0065f0000089iDzAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,312,006Dm000003RqgcIAC,Mr. Cletus Kemmer - Loan - 13500,Brenda Banker,0.57,1,1. Doc Prep
Regular,0015f00000FJXpNAAX,Millennials,Kent Beier,28900,2022-04-11 00:00:00,Home Equity,2022-08-09 00:00:00,443,Best Case,0065f0000089iGZAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,222,006Dm000003RqgcIAC,Kent Beier - Loan - 6300,Brenda Banker,0.6,1,1. Doc Prep
Regular,0015f00000FJXouAAH,High Net Worth Families,Tristan Dibbert,273400,2022-04-21 00:00:00,Residential,2022-08-09 00:00:00,557,Omitted,0065f0000089iGUAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxlAAA,308,006Dm000003RqgcIAC,Tristan Dibbert - Mortgage - 273400,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJXpaAAH,Mass Market,Yen Reichert,128200,2022-04-12 00:00:00,Home Equity,2022-08-10 00:00:00,244,Pipeline,0065f0000089iI0AAI,FALSE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,265,006Dm000003RqgcIAC,Yen Reichert - Loan - 10800,Brenda Banker,0.87,4,4. Underwriting
Preferred,0015f00000FJXpNAAX,Millennials,Blair Ortiz,123400,2022-04-19 00:00:00,Home Equity,2022-08-17 00:00:00,317,Best Case,0065f0000089iGHAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,317,006Dm000003RqgcIAC,Blair Ortiz - Loan - 23400,Allen Advisor,0.61,1,1. Doc Prep
Preferred,0015f00000FJXpSAAX,Millennials,Porfirio Jacobson,317800,2022-05-11 00:00:00,Residential,2022-08-19 00:00:00,783,Closed,0065f0000089iDzAAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxZAAQ,352,006Dm000003RqgcIAC,Porfirio Jacobson - Mortgage - 317800,Chelsea Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpNAAX,Mass Market,Mr. Nickole Gleason,341800,2022-05-03 00:00:00,Residential,2022-08-21 00:00:00,460,Best Case,0065f0000089iEVAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,326,006Dm000003RqgcIAC,Mr. Nickole Gleason - Mortgage - 341800,Allen Advisor,0.42,1,1. Doc Prep
Preferred,0015f00000FJXogAAH,High Net Worth Families,Catherina Batz,134900,2022-05-08 00:00:00,Home Equity,2022-08-26 00:00:00,787,Closed,0065f0000089iJpAAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxYAAQ,218,006Dm000003RqgcIAC,Catherina Batz - Loan - 22000,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJXpKAAX,Millennials,Viki Runte,311300,2022-05-19 00:00:00,Residential,2022-08-27 00:00:00,819,Closed,0065f000002PL8jAAG,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jzcAAA,324,006Dm000003RqgcIAC,Viki Runte - Mortgage - 311300,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJXpeAAH,Affluent Professionals,Gayle Vandervort MD,117900,2022-05-24 00:00:00,Home Equity,2022-09-01 00:00:00,284,Closed,0065f0000089iJ2AAI,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxjAAA,233,006Dm000003RqgcIAC,Gayle Vandervort MD - Loan - 15600,Allen Advisor,0.66,2,2. Qualification
Preferred,0015f00000FJXpRAAX,Mass Market,Cyrus Klocko MD,361200,2022-05-28 00:00:00,Residential,2022-09-05 00:00:00,502,Closed,0065f0000089iNQAAY,TRUE,TRUE,Partner,2022-09-05 00:00:00,0055f0000074jxdAAA,382,006Dm000003RqgcIAC,Cyrus Klocko MD - Mortgage - 361200,Allen Advisor,0.67,2,3. Credit Review
Preferred,0015f00000FJXpRAAX,High Net Worth Families,Annabell Parker,286900,2022-05-08 00:00:00,Residential,2022-09-05 00:00:00,358,Best Case,0065f0000089iEKAAY,FALSE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxfAAA,395,006Dm000003RqgcIAC,Annabell Parker - Mortgage - 286900,Allen Advisor,0.8,3,3. Credit Review
Regular,0015f00000FJXpKAAX,Retired,Fatimah Buckridge,309700,2022-05-30 00:00:00,Residential,2022-09-17 00:00:00,686,Closed,0065f0000089iNWAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jzcAAA,273,006Dm000003RqgcIAC,Fatimah Buckridge - Mortgage - 309700,Brenda Banker,1,5,5. Closed Won
Preferred,0015f00000FJXorAAH,Mass Market,Halina Hartmann,69400,2022-05-30 00:00:00,Home Equity,2022-09-17 00:00:00,306,Omitted,0065f0000089iDqAAI,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxcAAA,331,006Dm000003RqgcIAC,Halina Hartmann - Loan - 21900,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJXpNAAX,Millennials,Ms. Erwin Ondricka,469000,2022-06-04 00:00:00,Residential,2022-10-02 00:00:00,354,Omitted,0065f0000089iGHAAY,TRUE,FALSE,Partner,2022-09-05 00:00:00,0055f0000074jxYAAQ,316,006Dm000003RqgcIAC,Ms. Erwin Ondricka - Mortgage - 469000,Allen Advisor,,6,6. Closed Lost
Preferred,0015f00000FJXorAAH,Mass Market,Bobette Trantow,79700,2022-02-21 00:00:00,Home Equity,2022-06-01 00:00:00,947,Best Case,0065f0000089iJGAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,373,006Dm000003RqgcIAC,Bobette Trantow - Loan - 6000,Allen Advisor,0.59,1,1. Doc Prep
Preferred,0015f00000FJY3aAAH,Retired,Bonita Green,192000,2022-02-07 00:00:00,Residential,2022-06-07 00:00:00,461,Best Case,0065f0000089iD6AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxUAAQ,308,006Dm000003RqgcIAC,Bonita Green - Mortgage - 192000,Allen Advisor,0.46,1,1. Doc Prep
Preferred,0015f00000FJYOQAA5,High Net Worth Families,Cherelle Harvey,330800,2022-02-18 00:00:00,Residential,2022-06-08 00:00:00,651,Omitted,0065f0000089iGLAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxXAAQ,230,006Dm000003RqgcIAC,Cherelle Harvey - Mortgage - 330800,Mark Garet,,6,6. Closed Lost
Regular,0015f00000FJYOWAA5,Mass Market,Ms. Lashanda Will,293000,2022-02-09 00:00:00,Residential,2022-06-09 00:00:00,780,Commit,0065f0000089iIgAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,236,006Dm000003RqgcIAC,Ms. Lashanda Will - Mortgage - 293000,Chelsea Advisor,0.94,4,4. Underwriting
Preferred,0015f00000FJXp9AAH,Affluent Professionals,Mrs. Eura Ankunding,265200,2022-02-20 00:00:00,Residential,2022-06-10 00:00:00,386,Closed,0065f000002PL86AAG,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074k2cAAA,226,006Dm000003RqgcIAC,Mrs. Eura Ankunding - Mortgage - 265200,Allen Advisor,1,5,5. Closed Won
Regular,0015f00000FJYOTAA5,Millennials,Laurence Gerlach,29000,2022-02-24 00:00:00,Home Equity,2022-06-14 00:00:00,411,Closed,0065f0000089iIUAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,308,006Dm000003RqgcIAC,Laurence Gerlach - Loan - 19600,Mark Garet,1,5,5. Closed Won
Regular,0015f00000FJXpEAAX,Affluent Professionals,Berta Denesik,50600,2022-03-08 00:00:00,Home Equity,2022-06-16 00:00:00,220,Pipeline,0065f000002PL8BAAW,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074k2lAAA,223,006Dm000003RqgcIAC,Berta Denesik - Loan - 8600,Brenda Banker,0.66,2,2. Qualification
Preferred,0015f00000FJYJxAAP,High Net Worth Families,Dan Senger V,118600,2022-03-09 00:00:00,Home Equity,2022-06-17 00:00:00,474,Omitted,0065f0000089iK6AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,315,006Dm000003RqgcIAC,Dan Senger V - Loan - 12300,Allen Advisor,0.9,2,3. Credit Review
Regular,0015f00000FJY2iAAH,Affluent Professionals,Mrs. Emilio Nikolaus,71000,2022-02-23 00:00:00,Home Equity,2022-06-23 00:00:00,849,Omitted,0065f0000089iEiAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,312,006Dm000003RqgcIAC,Mrs. Emilio Nikolaus - Loan - 12600,Allen Advisor,0.59,2,3. Credit Review
Preferred,0015f00000FJYJzAAP,Retired,Ms. Rodrigo Strosin,219700,2022-03-06 00:00:00,Residential,2022-06-24 00:00:00,232,Closed,0065f0000089iDFAAY,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxWAAQ,342,006Dm000003RqgcIAC,Ms. Rodrigo Strosin - Mortgage - 219700,Allen Advisor,0.62,2,2. Qualification
Preferred,0015f00000DX7nMAAT,Millennials,Adelaida Anderson,293900,2022-03-09 00:00:00,Residential,2022-06-27 00:00:00,719,Commit,0065f000002PL8DAAW,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jyFAAQ,364,006Dm000003RqgcIAC,Adelaida Anderson - Mortgage - 293900,Allen Advisor,0.79,4,4. Underwriting
Preferred,0015f00000FJYK2AAP,Affluent Professionals,Wendolyn Schaden,344900,2022-03-09 00:00:00,Residential,2022-06-27 00:00:00,398,Omitted,0065f0000089iFIAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,328,006Dm000003RqgcIAC,Wendolyn Schaden - Mortgage - 344900,Allen Advisor,0.66,2,3. Credit Review
Preferred,0015f00000FJY3dAAH,Millennials,Isaiah Tromp,220400,2022-02-28 00:00:00,Residential,2022-06-28 00:00:00,247,Commit,0065f0000089iD4AAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,265,006Dm000003RqgcIAC,Isaiah Tromp - Mortgage - 220400,Chelsea Advisor,0.61,1,1. Doc Prep
Preferred,0015f00000DX7nMAAT,High Net Worth Families,Todd Schumm,394600,2022-03-01 00:00:00,Residential,2022-06-29 00:00:00,495,Omitted,0065f000002PL8GAAW,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jyFAAQ,331,006Dm000003RqgcIAC,Todd Schumm - Mortgage - 394600,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJYJrAAP,Affluent Professionals,Vaughn Gleichner,32900,2022-03-01 00:00:00,Home Equity,2022-06-29 00:00:00,314,Best Case,0065f0000089iJ8AAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,324,006Dm000003RqgcIAC,Vaughn Gleichner - Loan - 15100,Mark Garet,0.82,4,3. Credit Review
Regular,0015f00000FJXpiAAH,Millennials,Laurette Marvin II,271500,2022-03-26 00:00:00,Residential,2022-07-04 00:00:00,305,Omitted,0065f0000089iJMAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,302,006Dm000003RqgcIAC,Laurette Marvin II - Mortgage - 271500,Brenda Banker,,6,6. Closed Lost
Regular,0015f00000FJXotAAH,Retired,Al Zieme DVM,232800,2022-03-09 00:00:00,Residential,2022-07-07 00:00:00,692,Omitted,0065f0000089iEsAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,261,006Dm000003RqgcIAC,Al Zieme DVM - Mortgage - 232800,Chelsea Advisor,,6,6. Closed Lost
Preferred,0015f00000FJYJxAAP,High Net Worth Families,Grazyna Kunde,253800,2022-03-11 00:00:00,Residential,2022-07-09 00:00:00,734,Closed,0065f000002PL8PAAW,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,312,006Dm000003RqgcIAC,Grazyna Kunde - Mortgage - 253800,Brenda Banker,1,5,5. Closed Won
Regular,0015f00000FJYOZAA5,High Net Worth Families,Sau Torp III,262100,2022-04-02 00:00:00,Residential,2022-07-11 00:00:00,264,Omitted,0065f0000089iDAAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxWAAQ,226,006Dm000003RqgcIAC,Sau Torp III - Mortgage - 262100,Chelsea Advisor,,6,6. Closed Lost
Regular,0015f00000FJY3ZAAX,Retired,Shantelle Grimes,88600,2022-03-15 00:00:00,Home Equity,2022-07-13 00:00:00,457,Closed,0065f000002PL7zAAG,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxUAAQ,282,006Dm000003RqgcIAC,Shantelle Grimes - Loan - 19700,Allen Advisor,0.68,2,2. Qualification
Regular,0015f00000FJXsEAAX,Retired,Alpha Bechtelar,459100,2022-03-27 00:00:00,Residential,2022-07-15 00:00:00,712,Omitted,0065f0000089iHLAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,264,006Dm000003RqgcIAC,Alpha Bechtelar - Mortgage - 459100,Allen Advisor,,6,6. Closed Lost
Regular,0015f00000FJY3UAAX,Affluent Professionals,Hilton Schamberger,402800,2022-03-29 00:00:00,Residential,2022-07-17 00:00:00,317,Commit,0065f0000089iDCAAY,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,294,006Dm000003RqgcIAC,Hilton Schamberger - Mortgage - 402800,Chelsea Advisor,0.83,4,3. Credit Review
Preferred,0015f00000FJYOQAA5,Retired,Easter Russel,491900,2022-04-09 00:00:00,Residential,2022-07-18 00:00:00,641,Best Case,0065f0000089iIlAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,275,006Dm000003RqgcIAC,Easter Russel - Mortgage - 491900,Allen Advisor,0.57,1,1. Doc Prep
Preferred,0015f00000FJY0RAAX,Millennials,Mr. Mauro Langosh,25100,2022-03-20 00:00:00,Home Equity,2022-07-18 00:00:00,315,Closed,0065f0000089iHoAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,270,006Dm000003RqgcIAC,Mr. Mauro Langosh - Loan - 9700,Chelsea Advisor,0.67,2,2. Qualification
Preferred,0015f00000FJYOQAA5,Mass Market,Trinidad Carroll,156900,2022-04-09 00:00:00,Residential,2022-07-18 00:00:00,230,Best Case,0065f0000089iILAAY,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxdAAA,234,006Dm000003RqgcIAC,Trinidad Carroll - Mortgage - 156900,Allen Advisor,0.66,2,2. Qualification
Preferred,0015f00000FJYJrAAP,Retired,Julie Morris,474300,2022-03-31 00:00:00,Residential,2022-07-19 00:00:00,321,Closed,0065f0000089iIqAAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxXAAQ,248,006Dm000003RqgcIAC,Julie Morris - Mortgage - 474300,Brenda Banker,1,5,5. Closed Won
Preferred,0015f00000FJYK2AAP,Millennials,Blossom Kilback DVM,149700,2022-03-21 00:00:00,Home Equity,2022-07-19 00:00:00,235,Best Case,0065f0000089iHJAAY,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,235,006Dm000003RqgcIAC,Blossom Kilback DVM - Loan - 5100,Allen Advisor,0.6,2,2. Qualification
Preferred,0015f00000FJYOQAA5,Retired,Sam Reinger,250000,2022-03-23 00:00:00,Residential,2022-07-21 00:00:00,391,Best Case,0065f0000089iIjAAI,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,418,006Dm000003RqgcIAC,Sam Reinger - Mortgage - 250000,Allen Advisor,0.62,2,2. Qualification
Preferred,0015f00000FJXosAAH,Mass Market,Mrs. Tonia Collins,159200,2022-04-13 00:00:00,Residential,2022-07-22 00:00:00,895,Omitted,0065f0000089iH5AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,214,006Dm000003RqgcIAC,Mrs. Tonia Collins - Mortgage - 159200,Brenda Banker,0.67,2,3. Credit Review
Preferred,0015f00000FJXosAAH,Mass Market,Dario Rice,27300,2022-04-10 00:00:00,Home Equity,2022-07-29 00:00:00,351,Closed,0065f0000089iJSAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,306,006Dm000003RqgcIAC,Dario Rice - Loan - 12700,Allen Advisor,1,5,5. Closed Won
Preferred,0015f00000FJYKXAA5,Retired,Olen Bednar Jr.,494200,2022-04-12 00:00:00,Residential,2022-07-31 00:00:00,329,Best Case,0065f0000089iJrAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,296,006Dm000003RqgcIAC,Olen Bednar Jr. - Mortgage - 494200,Mark Garet,0.56,1,3. Credit Review
Regular,0015f00000FJYK0AAP,High Net Worth Families,Terry Bergstrom,351400,2022-04-02 00:00:00,Residential,2022-07-31 00:00:00,883,Omitted,0065f0000089iIWAAY,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,201,006Dm000003RqgcIAC,Terry Bergstrom - Mortgage - 351400,Brenda Banker,,6,6. Closed Lost
Preferred,0015f00000FJXotAAH,Retired,Jamey Rice,78300,2022-04-04 00:00:00,Home Equity,2022-08-02 00:00:00,807,Best Case,0065f0000089iJaAAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxiAAA,368,006Dm000003RqgcIAC,Jamey Rice - Loan - 16200,Allen Advisor,0.42,1,1. Doc Prep
Preferred,0015f00000FJYJrAAP,High Net Worth Families,Caterina Dickinson,125900,2022-04-15 00:00:00,Home Equity,2022-08-03 00:00:00,477,Omitted,0065f0000089iJ6AAI,TRUE,FALSE,In Person,2022-09-05 00:00:00,0055f0000074jxeAAA,246,006Dm000003RqgcIAC,Caterina Dickinson - Loan - 18100,Chelsea Advisor,,6,6. Closed Lost
Regular,0015f00000FJYOXAA5,Retired,Dr. Hank Barton,140600,2022-04-08 00:00:00,Home Equity,2022-08-06 00:00:00,710,Closed,0065f0000089iIrAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxcAAA,283,006Dm000003RqgcIAC,Dr. Hank Barton - Loan - 13800,Mark Garet,1,5,5. Closed Won
Preferred,0015f00000FJXqyAAH,Retired,Charlie Sawayn,315400,2022-04-29 00:00:00,Residential,2022-08-07 00:00:00,239,Best Case,0065f0000089iJLAAY,FALSE,FALSE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,277,006Dm000003RqgcIAC,Charlie Sawayn - Mortgage - 315400,Allen Advisor,0.78,4,4. Underwriting
Preferred,0015f00000FJXorAAH,Millennials,Chase Senger,126600,2022-05-01 00:00:00,Home Equity,2022-08-09 00:00:00,699,Closed,0065f0000089iD1AAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxVAAQ,306,006Dm000003RqgcIAC,Chase Senger - Loan - 24400,Allen Advisor,0.68,2,2. Qualification
Regular,0015f00000FJYJrAAP,High Net Worth Families,Cassy Wiegand,276300,2022-04-16 00:00:00,Residential,2022-08-14 00:00:00,953,Commit,0065f0000089iJ9AAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f000005glsHAAQ,362,006Dm000003RqgcIAC,Cassy Wiegand - Mortgage - 276300,Allen Advisor,0.92,4,4. Underwriting
Preferred,0015f00000FJYJpAAP,Retired,Reynaldo Schultz,143300,2022-05-08 00:00:00,Home Equity,2022-08-16 00:00:00,384,Closed,0065f0000089iFeAAI,TRUE,TRUE,In Person,2022-09-05 00:00:00,0055f0000074jxdAAA,213,006Dm000003RqgcIAC,Reynaldo Schultz - Loan - 5800,Brenda Banker,0.67,2,3. Credit Review
