ConvertedOppAmount,CreatedDate,IsConverted,LastProcessedDate,LeadActivities,LeadSource,Name,Owner,Owner_Name,Owner_SmallPhotoUrl,Rating,Status
,2022-10-15,FALSE,2023-11-29,22,Other,Pauline Parell,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Nurturing
,2022-10-26,FALSE,2023-11-29,15,Purchased List,Boyle,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
41000,2022-11-03,TRUE,2023-11-29,7,Other,Rhodie Domoney,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,New
,2022-10-17,FALSE,2023-11-29,,Employee Referral,Gerry Wackley,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
27000,2022-11-04,FALSE,2023-11-29,7,Advertisement,Joycelin Thrustle,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Nurturing - Contacted
,2022-10-31,TRUE,2023-11-29,21,Other,Erasmus Satford,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-10-24,FALSE,2023-11-29,17,Employee Referral,Matthew Lanchester,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working  - Contacted
,2022-11-09,FALSE,2023-11-29,24,Advertisement,Conway Sarre,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
31000,2022-11-10,FALSE,2023-11-29,8,Other,Greer Weedon,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-10-24,TRUE,2023-11-29,12,Employee Referral,Amelina Rigardeau,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-10-20,FALSE,2023-11-29,8,Trade Show,Urbano Zorn,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Qualified
,2022-11-01,FALSE,2023-11-29,8,Other,Ivory Rider,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
,2022-10-16,FALSE,2023-11-29,10,Purchased List,Jordan,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing - Contacted
,2022-10-24,TRUE,2023-11-29,15,Other,McPherson,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,New
,2022-11-09,FALSE,2023-11-29,18,Advertisement,Rycca Geoghegan,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-10-31,FALSE,2023-11-29,20,Other,Frasier Peploe,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-11-07,FALSE,2023-11-29,5,Employee Referral,Layla Denniston,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
,2022-10-28,FALSE,2023-11-29,9,Employee Referral,Christie Mathis,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-10-19,TRUE,2023-11-29,12,Advertisement,Bevon Ramstead,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Qualified
,2022-10-24,FALSE,2023-11-29,15,Purchased List,Obama,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working
23500,2022-11-02,FALSE,2023-11-29,18,Other,Kevyn Load,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing - Contacted
,2022-10-26,TRUE,2023-11-29,5,Other,Lauryn Kener,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
,2022-10-19,FALSE,2023-11-29,5,Trade Show,Tomas Greenleaf,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Converted
63000,2022-11-07,FALSE,2023-11-29,6,Other,Mateo Beig,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-29,FALSE,2023-11-29,6,Advertisement,Abramo Morrissey,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working
,2022-10-26,TRUE,2023-11-29,15,Other,Sylvester Verrillo,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Qualified
,2022-10-18,FALSE,2023-11-29,11,Employee Referral,Nickola Missington,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
,2022-11-09,FALSE,2023-11-29,11,Employee Referral,Adrien Filtness,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Nurturing
50000,2022-11-01,FALSE,2023-11-29,22,Other,Rachel Adams (Sample),R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
,2022-10-23,TRUE,2023-11-29,8,Advertisement,Kandy Windrus,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Qualified
,2022-10-14,FALSE,2023-11-29,6,Other,Calley Sawdy,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,New
,2022-11-05,FALSE,2023-11-29,6,Purchased List,Jaquelyn Boow,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-10-28,FALSE,2023-11-29,6,Employee Referral,Brandea Starton,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Working
,2022-11-09,TRUE,2023-11-29,8,Other,Penn Burford,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working  - Contacted
,2022-10-23,FALSE,2023-11-29,12,Employee Referral,Ximenes Haymes,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Nurturing
40000,2022-11-08,FALSE,2023-11-29,5,Advertisement,Korry Ardron,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
,2022-11-01,FALSE,2023-11-29,12,Other,Benedikta Esser,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-18,FALSE,2023-11-29,10,Employee Referral,Pennie Osboldstone,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Qualified
,2022-10-25,TRUE,2023-11-29,5,Employee Referral,Lisetta Starrs,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Nurturing - Contacted
,2022-10-31,FALSE,2023-11-29,12,Trade Show,Byran Vankin,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Working
,2022-11-07,FALSE,2023-11-29,5,Purchased List,Eustace Gibbe,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working  - Contacted
30000,2022-10-18,FALSE,2023-11-29,10,Advertisement,Renae Meiner,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Nurturing
,2022-10-25,TRUE,2023-11-29,,Employee Referral,Heda Grimshaw,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
,2022-11-06,FALSE,2023-11-29,13,Other,Boote Tweddle,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-11-01,FALSE,2023-11-29,8,Other,Lesley Dominique,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
,2022-10-22,FALSE,2023-11-29,21,Employee Referral,Maia Porter,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
,2022-11-08,TRUE,2023-11-29,7,Advertisement,Dominique Bibey,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working  - Contacted
,2022-10-30,FALSE,2023-11-29,21,Other,Reuven Sprigin,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,New
,2022-10-18,FALSE,2023-11-29,5,Other,Shandra D'Alessio,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Converted
,2022-10-20,TRUE,2023-11-29,19,Other,Kingsly Blackstone,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-11-06,FALSE,2023-11-29,,Employee Referral,Martie Spradbery,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing
,2022-10-26,FALSE,2023-11-29,14,Purchased List,LutherKing,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Nurturing - Contacted
,2022-10-29,FALSE,2023-11-29,12,Other,Laurene Bathurst,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-25,TRUE,2023-11-29,14,Employee Referral,Jesse Dincke,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
18500,2022-10-28,FALSE,2023-11-29,12,Other,Christabella Meckiff,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-11-07,FALSE,2023-11-29,14,Trade Show,Normand Carvilla,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Qualified
,2022-10-20,FALSE,2023-11-29,,Advertisement,Dyna Schooley,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working  - Contacted
15500,2022-11-05,TRUE,2023-11-29,13,Advertisement,Ynes Oganian,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Qualified
71000,2022-10-17,FALSE,2023-11-29,5,Employee Referral,Linnea Braybrookes,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,New
,2022-10-25,FALSE,2023-11-29,14,Other,Kassey Devenny,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Working
,2022-11-02,FALSE,2023-11-29,9,Other,Nikos Dennerley,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Nurturing - Contacted
18000,2022-10-26,FALSE,2023-11-29,14,Employee Referral,Aguie Beckingham,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working  - Contacted
,2022-10-14,TRUE,2023-11-29,25,Purchased List,Moyra Milier,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
76400,2022-11-05,FALSE,2023-11-29,7,Other,Corly Randal,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-11-01,FALSE,2023-11-29,21,Advertisement,Viviana Verden,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing
17500,2022-10-25,FALSE,2023-11-29,11,Other,Ddene Gail,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-20,TRUE,2023-11-29,12,Employee Referral,Sasha Slocom,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
,2022-11-07,FALSE,2023-11-29,11,Other,Kinnie Samter,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Qualified
,2022-11-07,FALSE,2023-11-29,6,Advertisement,Alphonso Acey,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working
,2022-10-23,TRUE,2023-11-29,13,Employee Referral,Claudia Treagust,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Converted
,2022-11-01,FALSE,2023-11-29,22,Purchased List,Ashley Gligorijevic,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
79000,2022-11-02,FALSE,2023-11-29,18,Employee Referral,Camile Maylin,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Qualified
,2022-11-07,FALSE,2023-11-29,6,Trade Show,Theo Chesman,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-10-31,FALSE,2023-11-29,15,Other,Fayina Chattaway,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working  - Contacted
,2022-10-21,TRUE,2023-11-29,21,Other,Anett Link,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
,2022-10-20,FALSE,2023-11-29,7,Employee Referral,Stafani Luquet,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing
,2022-11-05,FALSE,2023-11-29,25,Advertisement,Sylvia Drysdall,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-10-16,FALSE,2023-11-29,14,Other,Reed Kleine,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working  - Contacted
107000,2022-10-29,TRUE,2023-11-29,20,Other,Trumpy,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Converted
,2022-10-24,FALSE,2023-11-29,6,Purchased List,Cristina Ead,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing - Contacted
,2022-11-04,FALSE,2023-11-29,10,Advertisement,Hope,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-21,FALSE,2023-11-29,9,Employee Referral,Shermie Schimann,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-20,TRUE,2023-11-29,,Other,Fremont Brunsden,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
25000,2022-11-03,FALSE,2023-11-29,14,Other,Enriqueta Mager,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Hot,Working
,2022-11-06,FALSE,2023-11-29,13,Employee Referral,Le,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Working  - Contacted
,2022-10-17,FALSE,2023-11-29,22,Advertisement,Clementina Treslove,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing
,2022-10-28,TRUE,2023-11-29,10,Employee Referral,Thorny Hodcroft,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,New
34000,2022-11-07,FALSE,2023-11-29,6,Other,Aniston,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Nurturing - Contacted
,2022-10-27,FALSE,2023-11-29,24,Other,Stillmann Doherty,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Working
56200,2022-10-28,TRUE,2023-11-29,8,Trade Show,Whitman Ferrillio,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Converted
,2022-10-23,FALSE,2023-11-29,,Employee Referral,Boony Emanuelov,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Qualified
,2022-10-20,FALSE,2023-11-29,7,Other,Vincenty Eckhard,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working  - Contacted
,2022-11-07,FALSE,2023-11-29,24,Advertisement,Darelle Roddick,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing
150000,2022-10-21,TRUE,2023-11-29,13,Other,Mariana Keuneke,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Converted
,2022-10-20,FALSE,2023-11-29,11,Employee Referral,Shalom Semple,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,New
,2022-10-28,FALSE,2023-11-29,8,Other,Adrianne Sprulls,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-11-09,FALSE,2023-11-29,10,Other,Saidee Ruprecht,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
19800,2022-10-22,FALSE,2023-11-29,5,Employee Referral,Lotti Macvey,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Working
,2022-10-28,TRUE,2023-11-29,25,Advertisement,Jo Dayley,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing - Contacted
,2022-10-15,FALSE,2023-11-29,11,Purchased List,Kelila Ruscoe,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Converted
,2022-11-08,FALSE,2023-11-29,11,Purchased List,Spacey,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-10-28,FALSE,2023-11-29,9,Employee Referral,Elsi Faircliffe,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-11-05,TRUE,2023-11-29,7,Other,Dorine Rowberry,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-10-25,FALSE,2023-11-29,,Other,Aviva Gornal,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Nurturing
,2022-10-31,FALSE,2023-11-29,23,Advertisement,Channa Tamsett,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,Nurturing - Contacted
17500,2022-10-20,TRUE,2023-11-29,11,Trade Show,Ezra Guage,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working
11500,2022-10-22,FALSE,2023-11-29,6,Other,Toni Wainwright,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Converted
,2022-11-04,FALSE,2023-11-29,25,Other,Kerry Grist,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Converted
,2022-10-30,FALSE,2023-11-29,5,Employee Referral,Alanna Brede,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working  - Contacted
13000,2022-10-21,FALSE,2023-11-29,11,Employee Referral,Marcellus Disman,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Cold,Nurturing
40800,2022-11-09,TRUE,2023-11-29,15,Purchased List,Judon Raxworthy,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Converted
,2022-11-01,FALSE,2023-11-29,8,Other,Ali,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,New
47200,2022-10-17,FALSE,2023-11-29,6,Advertisement,Whit Bodicam,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Cold,Qualified
11500,2022-10-27,FALSE,2023-11-29,15,Other,Winnie Cradey,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Working
,2022-11-10,TRUE,2023-11-29,10,Employee Referral,Edmon Robelet,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Nurturing - Contacted
,2022-10-28,FALSE,2023-11-29,11,Other,Hodge Tottle,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-20,FALSE,2023-11-29,9,Advertisement,Sigismund Fort,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Nurturing - Contacted
,2022-10-26,FALSE,2023-11-29,8,Employee Referral,Picasso,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Qualified
,2022-11-08,TRUE,2023-11-29,7,Other,Gardie Atthowe,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Nurturing
,2022-10-29,FALSE,2023-11-29,19,Purchased List,Vivienne Daddow,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Converted
,2022-10-15,FALSE,2023-11-29,5,Trade Show,Madonna Ralls,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Cold,New
,2022-10-24,TRUE,2023-11-29,20,Other,Ilse Nezey,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Working  - Contacted
,2022-11-07,FALSE,2023-11-29,23,Employee Referral,Bobine Orrobin,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Hot,Working  - Contacted
,2022-10-14,FALSE,2023-11-29,22,Other,Gwyneth Hardman,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
,2022-10-30,FALSE,2023-11-29,11,Employee Referral,Camile Knolles-Green,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Converted
33000,2022-10-23,TRUE,2023-11-29,15,Advertisement,Cortie Andreoletti,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,Working
27000,2022-10-19,FALSE,2023-11-29,11,Advertisement,Cordie Hattigan,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Warm,Nurturing
20000,2022-11-02,FALSE,2023-11-29,12,Other,Naomi de Quincey,Deepu CSEG,Tawnia Williams,https://finssummer20--c.documentforce.com/profilephoto/7293A000000Waco/T,Warm,Nurturing - Contacted
32000,2022-11-04,FALSE,2023-11-29,19,Other,Perry,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Hot,Converted
,2022-11-09,TRUE,2023-11-29,9,Purchased List,Madelon Krystek,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Warm,Qualified
24500,2022-10-28,FALSE,2023-11-29,11,Other,Darbie Duffett,R CSEG,Sofia Lopez,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaN/T,Cold,New
27000,2022-10-27,FALSE,2023-11-29,9,Employee Referral,Gris Brisker,Qianwen Dong,Justin Chen,https://finssummer20--c.documentforce.com/profilephoto/7293A000000WaaQ/T,Warm,Nurturing - Contacted
,2022-10-15,FALSE,2023-11-29,9,Advertisement,Avrom Arnold,G M,Thomas Oliver,https://finssummer20--c.documentforce.com/profilephoto/7294V0000008I1x/T,Hot,Working
